emoji,name,concept,concept_source,iconic,emojese,codepoints,status,group,subgroup
🫰🏾,hand with index finger and thumb crossed: medium-dark skin tone,,,,,1FAF0 1F3FE,fully-qualified,People & Body,hand-fingers-partial
🫰🏿,hand with index finger and thumb crossed: dark skin tone,,,,,1FAF0 1F3FF,fully-qualified,People & Body,hand-fingers-partial
🤟,love-you gesture,,,,,1F91F,fully-qualified,People & Body,hand-fingers-partial
🤟🏻,love-you gesture: light skin tone,,,,,1F91F 1F3FB,fully-qualified,People & Body,hand-fingers-partial
🤟🏼,love-you gesture: medium-light skin tone,,,,,1F91F 1F3FC,fully-qualified,People & Body,hand-fingers-partial
🤟🏽,love-you gesture: medium skin tone,,,,,1F91F 1F3FD,fully-qualified,People & Body,hand-fingers-partial
🤟🏾,love-you gesture: medium-dark skin tone,,,,,1F91F 1F3FE,fully-qualified,People & Body,hand-fingers-partial
🤟🏿,love-you gesture: dark skin tone,,,,,1F91F 1F3FF,fully-qualified,People & Body,hand-fingers-partial
🤘,sign of the horns,horns,iconic,horns,,1F918,fully-qualified,People & Body,hand-fingers-partial
🤘🏻,sign of the horns: light skin tone,,,,,1F918 1F3FB,fully-qualified,People & Body,hand-fingers-partial
🤘🏼,sign of the horns: medium-light skin tone,,,,,1F918 1F3FC,fully-qualified,People & Body,hand-fingers-partial
🤘🏽,sign of the horns: medium skin tone,,,,,1F918 1F3FD,fully-qualified,People & Body,hand-fingers-partial
🤘🏾,sign of the horns: medium-dark skin tone,,,,,1F918 1F3FE,fully-qualified,People & Body,hand-fingers-partial
🤘🏿,sign of the horns: dark skin tone,,,,,1F918 1F3FF,fully-qualified,People & Body,hand-fingers-partial
🤙,call me hand,,,,,1F919,fully-qualified,People & Body,hand-fingers-partial
🤙🏻,call me hand: light skin tone,,,,,1F919 1F3FB,fully-qualified,People & Body,hand-fingers-partial
🤙🏼,call me hand: medium-light skin tone,,,,,1F919 1F3FC,fully-qualified,People & Body,hand-fingers-partial
🤙🏽,call me hand: medium skin tone,,,,,1F919 1F3FD,fully-qualified,People & Body,hand-fingers-partial
🤙🏾,call me hand: medium-dark skin tone,,,,,1F919 1F3FE,fully-qualified,People & Body,hand-fingers-partial
🤙🏿,call me hand: dark skin tone,,,,,1F919 1F3FF,fully-qualified,People & Body,hand-fingers-partial
👈,backhand index pointing left,that,emojese,me,that,1F448,fully-qualified,People & Body,hand-single-finger
👈🏻,backhand index pointing left: light skin tone,,,,,1F448 1F3FB,fully-qualified,People & Body,hand-single-finger
👈🏼,backhand index pointing left: medium-light skin tone,,,,,1F448 1F3FC,fully-qualified,People & Body,hand-single-finger
👈🏽,backhand index pointing left: medium skin tone,,,,,1F448 1F3FD,fully-qualified,People & Body,hand-single-finger
👈🏾,backhand index pointing left: medium-dark skin tone,,,,,1F448 1F3FE,fully-qualified,People & Body,hand-single-finger
👈🏿,backhand index pointing left: dark skin tone,,,,,1F448 1F3FF,fully-qualified,People & Body,hand-single-finger
👉,backhand index pointing right,this,emojese,your,this,1F449,fully-qualified,People & Body,hand-single-finger
👉🏻,backhand index pointing right: light skin tone,,,,,1F449 1F3FB,fully-qualified,People & Body,hand-single-finger
👉🏼,backhand index pointing right: medium-light skin tone,,,,,1F449 1F3FC,fully-qualified,People & Body,hand-single-finger
👉🏽,backhand index pointing right: medium skin tone,,,,,1F449 1F3FD,fully-qualified,People & Body,hand-single-finger
👉🏾,backhand index pointing right: medium-dark skin tone,,,,,1F449 1F3FE,fully-qualified,People & Body,hand-single-finger
👉🏿,backhand index pointing right: dark skin tone,,,,,1F449 1F3FF,fully-qualified,People & Body,hand-single-finger
👆,backhand index pointing up,pronoun,iconic,pronoun,,1F446,fully-qualified,People & Body,hand-single-finger
👆🏻,backhand index pointing up: light skin tone,,,,,1F446 1F3FB,fully-qualified,People & Body,hand-single-finger
👆🏼,backhand index pointing up: medium-light skin tone,,,,,1F446 1F3FC,fully-qualified,People & Body,hand-single-finger
👆🏽,backhand index pointing up: medium skin tone,,,,,1F446 1F3FD,fully-qualified,People & Body,hand-single-finger
👆🏾,backhand index pointing up: medium-dark skin tone,,,,,1F446 1F3FE,fully-qualified,People & Body,hand-single-finger
👆🏿,backhand index pointing up: dark skin tone,,,,,1F446 1F3FF,fully-qualified,People & Body,hand-single-finger
🖕,middle finger,middlefinger,iconic,middlefinger,,1F595,fully-qualified,People & Body,hand-single-finger
🖕🏻,middle finger: light skin tone,,,,,1F595 1F3FB,fully-qualified,People & Body,hand-single-finger
🖕🏼,middle finger: medium-light skin tone,,,,,1F595 1F3FC,fully-qualified,People & Body,hand-single-finger
🖕🏽,middle finger: medium skin tone,,,,,1F595 1F3FD,fully-qualified,People & Body,hand-single-finger
🖕🏾,middle finger: medium-dark skin tone,,,,,1F595 1F3FE,fully-qualified,People & Body,hand-single-finger
🖕🏿,middle finger: dark skin tone,,,,,1F595 1F3FF,fully-qualified,People & Body,hand-single-finger
👇,backhand index pointing down,me,emojese,this,me,1F447,fully-qualified,People & Body,hand-single-finger
👇🏻,backhand index pointing down: light skin tone,,,,,1F447 1F3FB,fully-qualified,People & Body,hand-single-finger
👇🏼,backhand index pointing down: medium-light skin tone,,,,,1F447 1F3FC,fully-qualified,People & Body,hand-single-finger
👇🏽,backhand index pointing down: medium skin tone,,,,,1F447 1F3FD,fully-qualified,People & Body,hand-single-finger
👇🏾,backhand index pointing down: medium-dark skin tone,,,,,1F447 1F3FE,fully-qualified,People & Body,hand-single-finger
👇🏿,backhand index pointing down: dark skin tone,,,,,1F447 1F3FF,fully-qualified,People & Body,hand-single-finger
☝️,index pointing up,sub,iconic,sub,,261D FE0F,fully-qualified,People & Body,hand-single-finger
☝🏻,index pointing up: light skin tone,,,,,261D 1F3FB,fully-qualified,People & Body,hand-single-finger
☝🏼,index pointing up: medium-light skin tone,,,,,261D 1F3FC,fully-qualified,People & Body,hand-single-finger
☝🏽,index pointing up: medium skin tone,,,,,261D 1F3FD,fully-qualified,People & Body,hand-single-finger
☝🏾,index pointing up: medium-dark skin tone,,,,,261D 1F3FE,fully-qualified,People & Body,hand-single-finger
☝🏿,index pointing up: dark skin tone,,,,,261D 1F3FF,fully-qualified,People & Body,hand-single-finger
🫵,index pointing at the viewer,you,emojese,,you,1FAF5,fully-qualified,People & Body,hand-single-finger
🫵🏻,index pointing at the viewer: light skin tone,,,,,1FAF5 1F3FB,fully-qualified,People & Body,hand-single-finger
🫵🏼,index pointing at the viewer: medium-light skin tone,,,,,1FAF5 1F3FC,fully-qualified,People & Body,hand-single-finger
🫵🏽,index pointing at the viewer: medium skin tone,,,,,1FAF5 1F3FD,fully-qualified,People & Body,hand-single-finger
🫵🏾,index pointing at the viewer: medium-dark skin tone,,,,,1FAF5 1F3FE,fully-qualified,People & Body,hand-single-finger
🫵🏿,index pointing at the viewer: dark skin tone,,,,,1FAF5 1F3FF,fully-qualified,People & Body,hand-single-finger
👍,thumbs up,fine,emojese,nice,fine,1F44D,fully-qualified,People & Body,hand-fingers-closed
👍🏻,thumbs up: light skin tone,,,,,1F44D 1F3FB,fully-qualified,People & Body,hand-fingers-closed
👍🏼,thumbs up: medium-light skin tone,,,,,1F44D 1F3FC,fully-qualified,People & Body,hand-fingers-closed
👍🏽,thumbs up: medium skin tone,,,,,1F44D 1F3FD,fully-qualified,People & Body,hand-fingers-closed
👍🏾,thumbs up: medium-dark skin tone,,,,,1F44D 1F3FE,fully-qualified,People & Body,hand-fingers-closed
👍🏿,thumbs up: dark skin tone,,,,,1F44D 1F3FF,fully-qualified,People & Body,hand-fingers-closed
👎,thumbs down,bad,emojese,,bad,1F44E,fully-qualified,People & Body,hand-fingers-closed
👎🏻,thumbs down: light skin tone,,,,,1F44E 1F3FB,fully-qualified,People & Body,hand-fingers-closed
👎🏼,thumbs down: medium-light skin tone,,,,,1F44E 1F3FC,fully-qualified,People & Body,hand-fingers-closed
👎🏽,thumbs down: medium skin tone,,,,,1F44E 1F3FD,fully-qualified,People & Body,hand-fingers-closed
👎🏾,thumbs down: medium-dark skin tone,,,,,1F44E 1F3FE,fully-qualified,People & Body,hand-fingers-closed
👎🏿,thumbs down: dark skin tone,,,,,1F44E 1F3FF,fully-qualified,People & Body,hand-fingers-closed
✊,raised fist,fist,emojese,resistant,power,270A,fully-qualified,People & Body,hand-fingers-closed
✊🏻,raised fist: light skin tone,,,,,270A 1F3FB,fully-qualified,People & Body,hand-fingers-closed
✊🏼,raised fist: medium-light skin tone,,,,,270A 1F3FC,fully-qualified,People & Body,hand-fingers-closed
✊🏽,raised fist: medium skin tone,,,,,270A 1F3FD,fully-qualified,People & Body,hand-fingers-closed
✊🏾,raised fist: medium-dark skin tone,,,,,270A 1F3FE,fully-qualified,People & Body,hand-fingers-closed
✊🏿,raised fist: dark skin tone,,,,,270A 1F3FF,fully-qualified,People & Body,hand-fingers-closed
👊,oncoming fist,,,,,1F44A,fully-qualified,People & Body,hand-fingers-closed
👊🏻,oncoming fist: light skin tone,,,,,1F44A 1F3FB,fully-qualified,People & Body,hand-fingers-closed
👊🏼,oncoming fist: medium-light skin tone,,,,,1F44A 1F3FC,fully-qualified,People & Body,hand-fingers-closed
👊🏽,oncoming fist: medium skin tone,,,,,1F44A 1F3FD,fully-qualified,People & Body,hand-fingers-closed
👊🏾,oncoming fist: medium-dark skin tone,,,,,1F44A 1F3FE,fully-qualified,People & Body,hand-fingers-closed
👊🏿,oncoming fist: dark skin tone,,,,,1F44A 1F3FF,fully-qualified,People & Body,hand-fingers-closed
🤛,left-facing fist,,,,,1F91B,fully-qualified,People & Body,hand-fingers-closed
🤛🏻,left-facing fist: light skin tone,,,,,1F91B 1F3FB,fully-qualified,People & Body,hand-fingers-closed
🤛🏼,left-facing fist: medium-light skin tone,,,,,1F91B 1F3FC,fully-qualified,People & Body,hand-fingers-closed
🤛🏽,left-facing fist: medium skin tone,,,,,1F91B 1F3FD,fully-qualified,People & Body,hand-fingers-closed
🤛🏾,left-facing fist: medium-dark skin tone,,,,,1F91B 1F3FE,fully-qualified,People & Body,hand-fingers-closed
🤛🏿,left-facing fist: dark skin tone,,,,,1F91B 1F3FF,fully-qualified,People & Body,hand-fingers-closed
🤜,right-facing fist,,,,,1F91C,fully-qualified,People & Body,hand-fingers-closed
🤜🏻,right-facing fist: light skin tone,,,,,1F91C 1F3FB,fully-qualified,People & Body,hand-fingers-closed
🤜🏼,right-facing fist: medium-light skin tone,,,,,1F91C 1F3FC,fully-qualified,People & Body,hand-fingers-closed
🤜🏽,right-facing fist: medium skin tone,,,,,1F91C 1F3FD,fully-qualified,People & Body,hand-fingers-closed
🤜🏾,right-facing fist: medium-dark skin tone,,,,,1F91C 1F3FE,fully-qualified,People & Body,hand-fingers-closed
🤜🏿,right-facing fist: dark skin tone,,,,,1F91C 1F3FF,fully-qualified,People & Body,hand-fingers-closed
👏,clapping hands,clap,emojese,,clap,1F44F,fully-qualified,People & Body,hands
👏🏻,clapping hands: light skin tone,,,,,1F44F 1F3FB,fully-qualified,People & Body,hands
👏🏼,clapping hands: medium-light skin tone,,,,,1F44F 1F3FC,fully-qualified,People & Body,hands
👏🏽,clapping hands: medium skin tone,,,,,1F44F 1F3FD,fully-qualified,People & Body,hands
👏🏾,clapping hands: medium-dark skin tone,,,,,1F44F 1F3FE,fully-qualified,People & Body,hands
👏🏿,clapping hands: dark skin tone,,,,,1F44F 1F3FF,fully-qualified,People & Body,hands
🙌,raising hands,celebration,iconic,celebration,,1F64C,fully-qualified,People & Body,hands
🙌🏻,raising hands: light skin tone,,,,,1F64C 1F3FB,fully-qualified,People & Body,hands
🙌🏼,raising hands: medium-light skin tone,,,,,1F64C 1F3FC,fully-qualified,People & Body,hands
🙌🏽,raising hands: medium skin tone,,,,,1F64C 1F3FD,fully-qualified,People & Body,hands
🙌🏾,raising hands: medium-dark skin tone,,,,,1F64C 1F3FE,fully-qualified,People & Body,hands
🙌🏿,raising hands: dark skin tone,,,,,1F64C 1F3FF,fully-qualified,People & Body,hands
🫶,heart hands,,,,,1FAF6,fully-qualified,People & Body,hands
🫶🏻,heart hands: light skin tone,,,,,1FAF6 1F3FB,fully-qualified,People & Body,hands
🫶🏼,heart hands: medium-light skin tone,,,,,1FAF6 1F3FC,fully-qualified,People & Body,hands
🫶🏽,heart hands: medium skin tone,,,,,1FAF6 1F3FD,fully-qualified,People & Body,hands
🫶🏾,heart hands: medium-dark skin tone,,,,,1FAF6 1F3FE,fully-qualified,People & Body,hands
🫶🏿,heart hands: dark skin tone,,,,,1FAF6 1F3FF,fully-qualified,People & Body,hands
👐,open hands,push,emojese,,push,1F450,fully-qualified,People & Body,hands
👐🏻,open hands: light skin tone,,,,,1F450 1F3FB,fully-qualified,People & Body,hands
👐🏼,open hands: medium-light skin tone,,,,,1F450 1F3FC,fully-qualified,People & Body,hands
👐🏽,open hands: medium skin tone,,,,,1F450 1F3FD,fully-qualified,People & Body,hands
👐🏾,open hands: medium-dark skin tone,,,,,1F450 1F3FE,fully-qualified,People & Body,hands
👐🏿,open hands: dark skin tone,,,,,1F450 1F3FF,fully-qualified,People & Body,hands
🤲,palms up together,hold,emojese,like,hold,1F932,fully-qualified,People & Body,hands
🤲🏻,palms up together: light skin tone,,,,,1F932 1F3FB,fully-qualified,People & Body,hands
🤲🏼,palms up together: medium-light skin tone,,,,,1F932 1F3FC,fully-qualified,People & Body,hands
🤲🏽,palms up together: medium skin tone,,,,,1F932 1F3FD,fully-qualified,People & Body,hands
🤲🏾,palms up together: medium-dark skin tone,,,,,1F932 1F3FE,fully-qualified,People & Body,hands
🤲🏿,palms up together: dark skin tone,,,,,1F932 1F3FF,fully-qualified,People & Body,hands
🤝,handshake,join,emojese,handshake,join,1F91D,fully-qualified,People & Body,hands
🤝🏻,handshake: light skin tone,,,,,1F91D 1F3FB,fully-qualified,People & Body,hands
🤝🏼,handshake: medium-light skin tone,,,,,1F91D 1F3FC,fully-qualified,People & Body,hands
🤝🏽,handshake: medium skin tone,,,,,1F91D 1F3FD,fully-qualified,People & Body,hands
🤝🏾,handshake: medium-dark skin tone,,,,,1F91D 1F3FE,fully-qualified,People & Body,hands
🤝🏿,handshake: dark skin tone,,,,,1F91D 1F3FF,fully-qualified,People & Body,hands
🫱🏻‍🫲🏼,"handshake: light skin tone, medium-light skin tone",,,,,1FAF1 1F3FB 200D 1FAF2 1F3FC,fully-qualified,People & Body,hands
🫱🏻‍🫲🏽,"handshake: light skin tone, medium skin tone",,,,,1FAF1 1F3FB 200D 1FAF2 1F3FD,fully-qualified,People & Body,hands
🫱🏻‍🫲🏾,"handshake: light skin tone, medium-dark skin tone",,,,,1FAF1 1F3FB 200D 1FAF2 1F3FE,fully-qualified,People & Body,hands
🫱🏻‍🫲🏿,"handshake: light skin tone, dark skin tone",,,,,1FAF1 1F3FB 200D 1FAF2 1F3FF,fully-qualified,People & Body,hands
🫱🏼‍🫲🏻,"handshake: medium-light skin tone, light skin tone",,,,,1FAF1 1F3FC 200D 1FAF2 1F3FB,fully-qualified,People & Body,hands
🫱🏼‍🫲🏽,"handshake: medium-light skin tone, medium skin tone",,,,,1FAF1 1F3FC 200D 1FAF2 1F3FD,fully-qualified,People & Body,hands
🫱🏼‍🫲🏾,"handshake: medium-light skin tone, medium-dark skin tone",,,,,1FAF1 1F3FC 200D 1FAF2 1F3FE,fully-qualified,People & Body,hands
🫱🏼‍🫲🏿,"handshake: medium-light skin tone, dark skin tone",,,,,1FAF1 1F3FC 200D 1FAF2 1F3FF,fully-qualified,People & Body,hands
🫱🏽‍🫲🏻,"handshake: medium skin tone, light skin tone",,,,,1FAF1 1F3FD 200D 1FAF2 1F3FB,fully-qualified,People & Body,hands
🫱🏽‍🫲🏼,"handshake: medium skin tone, medium-light skin tone",,,,,1FAF1 1F3FD 200D 1FAF2 1F3FC,fully-qualified,People & Body,hands
🫱🏽‍🫲🏾,"handshake: medium skin tone, medium-dark skin tone",,,,,1FAF1 1F3FD 200D 1FAF2 1F3FE,fully-qualified,People & Body,hands
🫱🏽‍🫲🏿,"handshake: medium skin tone, dark skin tone",,,,,1FAF1 1F3FD 200D 1FAF2 1F3FF,fully-qualified,People & Body,hands
🫱🏾‍🫲🏻,"handshake: medium-dark skin tone, light skin tone",,,,,1FAF1 1F3FE 200D 1FAF2 1F3FB,fully-qualified,People & Body,hands
🫱🏾‍🫲🏼,"handshake: medium-dark skin tone, medium-light skin tone",,,,,1FAF1 1F3FE 200D 1FAF2 1F3FC,fully-qualified,People & Body,hands
🫱🏾‍🫲🏽,"handshake: medium-dark skin tone, medium skin tone",,,,,1FAF1 1F3FE 200D 1FAF2 1F3FD,fully-qualified,People & Body,hands
🫱🏾‍🫲🏿,"handshake: medium-dark skin tone, dark skin tone",,,,,1FAF1 1F3FE 200D 1FAF2 1F3FF,fully-qualified,People & Body,hands
🫱🏿‍🫲🏻,"handshake: dark skin tone, light skin tone",,,,,1FAF1 1F3FF 200D 1FAF2 1F3FB,fully-qualified,People & Body,hands
🫱🏿‍🫲🏼,"handshake: dark skin tone, medium-light skin tone",,,,,1FAF1 1F3FF 200D 1FAF2 1F3FC,fully-qualified,People & Body,hands
🫱🏿‍🫲🏽,"handshake: dark skin tone, medium skin tone",,,,,1FAF1 1F3FF 200D 1FAF2 1F3FD,fully-qualified,People & Body,hands
🫱🏿‍🫲🏾,"handshake: dark skin tone, medium-dark skin tone",,,,,1FAF1 1F3FF 200D 1FAF2 1F3FE,fully-qualified,People & Body,hands
🙏,folded hands,thank,emojese,please,thank,1F64F,fully-qualified,People & Body,hands
🙏🏻,folded hands: light skin tone,,,,,1F64F 1F3FB,fully-qualified,People & Body,hands
🙏🏼,folded hands: medium-light skin tone,,,,,1F64F 1F3FC,fully-qualified,People & Body,hands
🙏🏽,folded hands: medium skin tone,,,,,1F64F 1F3FD,fully-qualified,People & Body,hands
🙏🏾,folded hands: medium-dark skin tone,,,,,1F64F 1F3FE,fully-qualified,People & Body,hands
🙏🏿,folded hands: dark skin tone,,,,,1F64F 1F3FF,fully-qualified,People & Body,hands
✍️,writing hand,write,emojese,,write,270D FE0F,fully-qualified,People & Body,hand-prop
✍🏻,writing hand: light skin tone,,,,,270D 1F3FB,fully-qualified,People & Body,hand-prop
✍🏼,writing hand: medium-light skin tone,,,,,270D 1F3FC,fully-qualified,People & Body,hand-prop
✍🏽,writing hand: medium skin tone,,,,,270D 1F3FD,fully-qualified,People & Body,hand-prop
✍🏾,writing hand: medium-dark skin tone,,,,,270D 1F3FE,fully-qualified,People & Body,hand-prop
✍🏿,writing hand: dark skin tone,,,,,270D 1F3FF,fully-qualified,People & Body,hand-prop
💅,nail polish,,,,,1F485,fully-qualified,People & Body,hand-prop
